Country code,Country Name,Flag
582,MEXICO Air Sea,Valid
236,AFGHANISTAN,Valid
101,ALBANIA,Valid
316,ALGERIA,Valid
102,ANDORRA,Valid
324,ANGOLA,Valid
529,ANGUILLA,Valid
518,ANTIGUA-BARBUDA,Valid
687,ARGENTINA,Valid
151,ARMENIA,Valid
532,ARUBA,Valid
438,AUSTRALIA,Valid
103,AUSTRIA,Valid
152,AZERBAIJAN,Valid
512,BAHAMAS,Valid
298,BAHRAIN,Valid
274,BANGLADESH,Valid
513,BARBADOS,Valid
104,BELGIUM,Valid
581,BELIZE,Valid
386,BENIN,Valid
509,BERMUDA,Valid
153,BELARUS,Valid
242,BHUTAN,Valid
688,BOLIVIA,Valid
717,"BONAIRE, ST EUSTATIUS, SABA",Valid
164,BOSNIA-HERZEGOVINA,Valid
336,BOTSWANA,Valid
689,BRAZIL,Valid
525,BRITISH VIRGIN ISLANDS,Valid
217,BRUNEI,Valid
105,BULGARIA,Valid
393,BURKINA FASO,Valid
243,BURMA,Valid
375,BURUNDI,Valid
310,CAMEROON,Valid
326,CAPE VERDE,Valid
526,CAYMAN ISLANDS,Valid
383,CENTRAL AFRICAN REPUBLIC,Valid
384,CHAD,Valid
690,CHILE,Valid
245,"CHINA, PRC",Valid
721,CURACAO,Valid
270,CHRISTMAS ISLAND,Valid
271,COCOS ISLANDS,Valid
691,COLOMBIA,Valid
317,COMOROS,Valid
385,CONGO,Valid
467,COOK ISLANDS,Valid
575,COSTA RICA,Valid
165,CROATIA,Valid
584,CUBA,Valid
218,CYPRUS,Valid
140,CZECH REPUBLIC,Valid
723,FAROE ISLANDS (PART OF DENMARK),Valid
108,DENMARK,Valid
322,DJIBOUTI,Valid
519,DOMINICA,Valid
585,DOMINICAN REPUBLIC,Valid
240,EAST TIMOR,Valid
692,ECUADOR,Valid
368,EGYPT,Valid
576,EL SALVADOR,Valid
399,EQUATORIAL GUINEA,Valid
372,ERITREA,Valid
109,ESTONIA,Valid
369,ETHIOPIA,Valid
604,FALKLAND ISLANDS,Valid
413,FIJI,Valid
110,FINLAND,Valid
111,FRANCE,Valid
601,FRENCH GUIANA,Valid
411,FRENCH POLYNESIA,Valid
387,GABON,Valid
338,GAMBIA,Valid
758,GAZA STRIP,Valid
154,GEORGIA,Valid
112,GERMANY,Valid
339,GHANA,Valid
143,GIBRALTAR,Valid
113,GREECE,Valid
520,GRENADA,Valid
507,GUADELOUPE,Valid
577,GUATEMALA,Valid
382,GUINEA,Valid
327,GUINEA-BISSAU,Valid
603,GUYANA,Valid
586,HAITI,Valid
726,HEARD AND MCDONALD IS.,Valid
149,HOLY SEE/VATICAN,Valid
