portofentry,Port Name,City,Flag
ALC,ALCAN, AK             ,Valid
ANC,ANCHORAGE, AK         ,Valid
BAR,BAKER AAF - BAKER ISLAND, AK,Valid
DAC,DALTONS CACHE, AK     ,Valid
PIZ,DEW STATION PT LAY DEW, AK,Valid
DTH,DUTCH HARBOR, AK      ,Valid
EGL,EAGLE, AK             ,Valid
FRB,FAIRBANKS, AK         ,Valid
HOM,HOMER, AK                        ,Valid
HYD,HYDER, AK             ,Valid
JUN,JUNEAU, AK            ,Valid
5KE,KETCHIKAN, AK,Valid
KET,KETCHIKAN, AK         ,Valid
MOS,MOSES POINT INTERMEDIATE, AK,Valid
NIK,NIKISKI, AK           ,Valid
NOM,NOM, AK               ,Valid
PKC,POKER CREEK, AK       ,Valid
ORI,PORT LIONS SPB, AK,Valid
SKA,SKAGWAY, AK           ,Valid
SNP,ST. PAUL ISLAND, AK,Valid
TKI,TOKEEN, AK,Valid
WRA,WRANGELL, AK          ,Valid
HSV,MADISON COUNTY - HUNTSVILLE, AL,Valid
MOB,MOBILE, AL            ,Valid
LIA,LITTLE ROCK, AR (BPS),Valid
ROG,ROGERS ARPT, AR,Valid
DOU,DOUGLAS, AZ           ,Valid
LUK,LUKEVILLE, AZ         ,Valid
MAP,MARIPOSA AZ           ,,Valid
NAC,NACO, AZ              ,Valid
NOG,NOGALES, AZ           ,Valid
PHO,PHOENIX, AZ           ,Valid
POR,PORTAL, AZ,Valid
SLU,SAN LUIS, AZ          ,Valid
SAS,SASABE, AZ            ,Valid
TUC,TUCSON, AZ            ,Valid
YUI,YUMA, AZ               ,Valid
AND,ANDRADE, CA           ,Valid
BUR,BURBANK, CA,Valid
CAL,CALEXICO, CA          ,Valid
CAO,CAMPO, CA              ,Valid
FRE,FRESNO, CA            ,Valid
ICP,IMPERIAL COUNTY, CA   ,Valid
LNB,LONG BEACH, CA         ,Valid
LOS,LOS ANGELES, CA       ,Valid
BFL,MEADOWS FIELD - BAKERSFIELD, CA,Valid
OAK,OAKLAND, CA  ,Valid
ONT,ONTARIO, CA,Valid
OTM,OTAY MESA, CA          ,Valid
BLT,PACIFIC, HWY. STATION,Valid
PSP,PALM SPRINGS, CA,Valid
SAC,SACRAMENTO, CA        ,Valid
SLS,SALINAS, CA (BPS),Valid
SDP,SAN DIEGO, CA,Valid
SFR,SAN FRANCISCO, CA     ,Valid
SNJ,SAN JOSE, CA          ,Valid
SLO,SAN LUIS OBISPO, CA   ,Valid
SLI,SAN LUIS OBISPO, CA (BPS),Valid
SPC,SAN PEDRO, CA         ,Valid
SYS,SAN YSIDRO, CA        ,Valid
SAA,SANTA ANA, CA         ,Valid
STO,STOCKTON, CA (BPS),Valid
TEC,TECATE, CA            ,Valid
TRV,TRAVIS-AFB, CA        ,Valid
APA,ARAPAHOE COUNTY, CO,Valid
ASE,ASPEN, CO #ARPT,Valid
COS,COLORADO SPRINGS, CO,Valid
DEN,DENVER, CO            ,Valid
DRO,LA PLATA - DURANGO, CO,Valid
BDL,BRADLEY INTERNATIONAL, CT,Valid
BGC,BRIDGEPORT, CT        ,Valid
GRT,GROTON, CT            ,Valid
HAR,HARTFORD, CT          ,Valid
NWH,NEW HAVEN, CT         ,Valid
NWL,NEW LONDON, CT        ,Valid
TST,NEWINGTON DATA CENTER TEST, CT,Valid
WAS,WASHINGTON DC         ,,Valid
DOV,DOVER AFB, DE,Valid
DVD,DOVER-AFB, DE         ,Valid
WLL,WILMINGTON, DE        ,Valid
BOC,BOCAGRANDE, FL        ,Valid
SRQ,BRADENTON - SARASOTA, FL,Valid
CAN,CAPE CANAVERAL, FL    ,Valid
DAB,DAYTONA BEACH INTERNATIONAL, FL,Valid
FRN,FERNANDINA, FL        ,Valid
FTL,FORT LAUDERDALE, FL   ,Valid
FMY,FORT MYERS, FL        ,Valid
FPF,FORT PIERCE, FL       ,Valid
HUR,HURLBURT FIELD, FL,Valid
GNV,J R ALISON MUNI - GAINESVILLE, FL,Valid
